key_type,key,avatar,zh-CN,ja,en,source_file
,level1_spot,,地点1 小区里的老太太们,場所1 団地のおばあちゃんたち,Spot 1 The Grandmas in the Neighborhood Compound,Level1.csv
,level1_spot_text,,我们总是能在小区里，看到这样的一群老太太们。,私たちはいつも団地の中で、こんなおばあちゃんたちの姿を見かけます。,We can always spot a group of grandmas like this in the neighborhood.,Level1.csv
,level1_guide,,走到一个小区里,住宅街に入った,Walking into a Neighborhood,Level1.csv
,level1_guide_1,,老奶奶们不知道在讨论什么？,おばあちゃんたち、何の話でそんなに盛り上がってるんだろう。,"I wonder what the grandmas are talking about.
They look so excited.",Level1.csv
,level1_guide_2,,还有老爷爷们。上海话好难懂，要是能听懂就更好玩了。,"こっちはおじいちゃんたち。
上海語、全然わからないけど、分かったらもっと楽しいだろうな。","And the grandpas, too.
Shanghainese is really hard to understand. It’d be way more fun if I could.",Level1.csv
,level1_guide_3,,……哇，是个鸟笼架子。听说上海老爷爷喜欢遛鸟，看哪天去公园看看。,"……わあ、鳥かごの棚だ。
上海のおじいちゃんって鳥を連れて散歩するって聞いた。
いつか公園で見てみたいな。","…Wow, a rack full of birdcages.
I heard old men in Shanghai like to take their birds out for walks.
Maybe I’ll go check that out in the park someday.",Level1.csv
,level1_goal101_description,,*阿姨在看着玩单杠，转圈圈的男孩。,＊おばさんは、鉄棒でぐるぐる回っている男の子を見ている。,*The auntie is watching a boy spinning around on the horizontal bar.,Level1.csv
,level1_goal101_summary,,老后的新尝试,歳を重ねてからの新しい試み,A new attempt later in life,Level1.csv
,level1_goal0,,旋转阿姨,くるくるおばさん,Twirl Auntie,Level1.csv
,level1_goal0_dialog1,,“小孩子就是精力旺盛。”,「子どもは本当に元気ねえ。」,"""Children really do have endless energy.""",Level1.csv
,level1_goal0_dialog11,,“看我的无敌旋风！”,「オレの無敵スピンをくらえーっ！」,"""Watch my super spin attack!""",Level1.csv
,level1_goal0_dialog2,,“要不我也试试。。”,「私もちょっとやってみようかしら…」,"""Maybe I should give it a try...""",Level1.csv
,level1_goal0_dialog3,,“原来我也行诶！”,「あら、できちゃった！」,"""Turns out I can do it too!""",Level1.csv
,level1_congrats,,看着还挺轻松的。大妈身子骨真硬朗。,"見てると、けっこう気楽そうだ。
おばあさん、体がほんとに丈夫だな。","She looks pretty relaxed.
The old lady seems really strong.",Level1.csv
