key-type,key,avator,Chinese,Japanese,English
,SPOT1,,地点1 小区里的老太太们,場所1 団地のおばあちゃんたち,Spot 1 The Grandmas in the Neighborhood Compound
,SPOTTEXT1,,我们总是能在小区里，看到这样的一群老太太们。,私たちはいつも団地の中で、こんなおばあちゃんたちの姿を見かけます。,We can always spot a group of grandmas like this in the neighborhood.
,,,,,
,Guide_level1,,走到一个小区里,住宅街に入った,Walking into a Neighborhood
,Guide_level1_1,,老奶奶们不知道在讨论什么？,おばあちゃんたち、何の話でそんなに盛り上がってるんだろう。,"I wonder what the grandmas are talking about.
They look so excited."
,Guide_level1_2,,还有老爷爷们。上海话好难懂，要是能听懂就更好玩了。,"こっちはおじいちゃんたち。
上海語、全然わからないけど、分かったらもっと楽しいだろうな。","And the grandpas, too.
Shanghainese is really hard to understand. It’d be way more fun if I could."
,Guide_level1_3,,……哇，是个鸟笼架子。听说上海老爷爷喜欢遛鸟，看哪天去公园看看。,"……わあ、鳥かごの棚だ。
上海のおじいちゃんって鳥を連れて散歩するって聞いた。
いつか公園で見てみたいな。","…Wow, a rack full of birdcages.
I heard old men in Shanghai like to take their birds out for walks.
Maybe I’ll go check that out in the park someday."
,,,,,
,Goal101Description,,*阿姨在看着玩单杠，转圈圈的男孩。,＊おばさんは、鉄棒でぐるぐる回っている男の子を見ている。,*The auntie is watching a boy spinning around on the horizontal bar.
,Goal101Summary,,老后的新尝试,歳を重ねてからの新しい試み,A new attempt later in life
,,,,,
,GOAL0,,旋转阿姨,くるくるおばさん,Twirl Auntie
,GOAL0DIALOG1,,“小孩子就是精力旺盛。”,「子どもは本当に元気ねえ。」,"""Children really do have endless energy."""
,GOAL0DIALOG11,,“看我的无敌旋风！”,「オレの無敵スピンをくらえーっ！」,"""Watch my super spin attack!"""
,GOAL0DIALOG2,,“要不我也试试。。”,「私もちょっとやってみようかしら…」,"""Maybe I should give it a try..."""
,GOAL0DIALOG3,,“原来我也行诶！”,「あら、できちゃった！」,"""Turns out I can do it too!"""
,,,,,
,Level1Congrats,,看着还挺轻松的。大妈身子骨真硬朗。,"見てると、けっこう気楽そうだ。
おばあさん、体がほんとに丈夫だな。","She looks pretty relaxed.
The old lady seems really strong."
